Wall = 25 cm => cardboard, angle 20 degress 

X : 530.0 mm, Y: 0.0 mm , angle : 0, dist : 50.0 cm 
X : 529.92 mm, Y: 9.25 mm , angle : 1, dist : 50.0 cm 
X : 530.68 mm, Y: 18.53 mm , angle : 2, dist : 50.1 cm 
X : 530.27 mm, Y: 27.79 mm , angle : 3, dist : 50.1 cm 
X : 529.71 mm, Y: 37.04 mm , angle : 4, dist : 50.1 cm 
X : 528.98 mm, Y: 46.28 mm , angle : 5, dist : 50.1 cm 
X : 529.09 mm, Y: 55.61 mm , angle : 6, dist : 50.2 cm 
X : 597.51 mm, Y: 73.37 mm , angle : 7, dist : 57.2 cm 
X : 32449.1 mm, Y: 4560.42 mm , angle : 8, dist : 3273.8 cm 
X : 32364.57 mm, Y: 5126.04 mm , angle : 9, dist : 3273.8 cm 
X : 265.9 mm, Y: 46.89 mm , angle : 10, dist : 24.0 cm 
X : 266.02 mm, Y: 51.71 mm , angle : 11, dist : 24.1 cm 
X : 266.06 mm, Y: 56.55 mm , angle : 12, dist : 24.2 cm 
X : 265.03 mm, Y: 61.19 mm , angle : 13, dist : 24.2 cm 
X : 264.89 mm, Y: 66.04 mm , angle : 14, dist : 24.3 cm 
X : 264.66 mm, Y: 70.92 mm , angle : 15, dist : 24.4 cm 
X : 264.35 mm, Y: 75.8 mm , angle : 16, dist : 24.5 cm 
X : 263.94 mm, Y: 80.69 mm , angle : 17, dist : 24.6 cm 
X : 263.44 mm, Y: 85.6 mm , angle : 18, dist : 24.7 cm 
X : 262.85 mm, Y: 90.51 mm , angle : 19, dist : 24.8 cm 
X : 262.17 mm, Y: 95.42 mm , angle : 20, dist : 24.9 cm 
X : 261.4 mm, Y: 100.34 mm , angle : 21, dist : 25.0 cm 
X : 261.47 mm, Y: 105.64 mm , angle : 22, dist : 25.2 cm 
X : 260.5 mm, Y: 110.58 mm , angle : 23, dist : 25.3 cm 
X : 260.36 mm, Y: 115.92 mm , angle : 24, dist : 25.5 cm 
X : 259.2 mm, Y: 120.87 mm , angle : 25, dist : 25.6 cm 
X : 258.85 mm, Y: 126.25 mm , angle : 26, dist : 25.8 cm 
X : 258.39 mm, Y: 131.66 mm , angle : 27, dist : 26.0 cm 
X : 258.7 mm, Y: 137.56 mm , angle : 28, dist : 26.3 cm 
X : 258.01 mm, Y: 143.02 mm , angle : 29, dist : 26.5 cm 
X : 257.21 mm, Y: 148.5 mm , angle : 30, dist : 26.7 cm 
