Wall = 25 cm => glass, angle 20 degress 

X : 530.0 mm, Y: 0.0 mm , angle : 0, dist : 50.0 cm 
X : 529.92 mm, Y: 9.25 mm , angle : 1, dist : 50.0 cm 
X : 530.68 mm, Y: 18.53 mm , angle : 2, dist : 50.1 cm 
X : 530.27 mm, Y: 27.79 mm , angle : 3, dist : 50.1 cm 
X : 529.71 mm, Y: 37.04 mm , angle : 4, dist : 50.1 cm 
X : 579.79 mm, Y: 50.72 mm , angle : 5, dist : 55.2 cm 
X : 32588.49 mm, Y: 3425.19 mm , angle : 6, dist : 3273.8 cm 
X : 297.76 mm, Y: 36.56 mm , angle : 7, dist : 27.0 cm 
X : 297.08 mm, Y: 41.75 mm , angle : 8, dist : 27.0 cm 
X : 295.32 mm, Y: 46.77 mm , angle : 9, dist : 26.9 cm 
X : 293.47 mm, Y: 51.75 mm , angle : 10, dist : 26.8 cm 
X : 288.6 mm, Y: 56.1 mm , angle : 11, dist : 26.4 cm 
X : 320.83 mm, Y: 68.2 mm , angle : 12, dist : 29.799999999999997 cm 
X : 426.77 mm, Y: 98.53 mm , angle : 13, dist : 40.8 cm 
X : 300.79 mm, Y: 75.0 mm , angle : 14, dist : 28.0 cm 
X : 323.59 mm, Y: 86.7 mm , angle : 15, dist : 30.5 cm 
X : 331.64 mm, Y: 95.09 mm , angle : 16, dist : 31.5 cm 
X : 382.52 mm, Y: 116.95 mm , angle : 17, dist : 37.0 cm 
X : 434.63 mm, Y: 141.22 mm , angle : 18, dist : 42.7 cm 
X : 460.47 mm, Y: 158.55 mm , angle : 19, dist : 45.7 cm 
X : 480.18 mm, Y: 174.77 mm , angle : 20, dist : 48.1 cm 
X : 453.72 mm, Y: 174.17 mm , angle : 21, dist : 45.6 cm 
X : 407.96 mm, Y: 164.83 mm , angle : 22, dist : 41.0 cm 
X : 381.09 mm, Y: 161.76 mm , angle : 23, dist : 38.4 cm 
X : 313.35 mm, Y: 139.51 mm , angle : 24, dist : 31.299999999999997 cm 
X : 327.18 mm, Y: 152.57 mm , angle : 25, dist : 33.1 cm 
X : 681.29 mm, Y: 332.29 mm , angle : 26, dist : 72.8 cm 
X : 811.71 mm, Y: 413.59 mm , angle : 27, dist : 88.1 cm 
X : 596.87 mm, Y: 317.36 mm , angle : 28, dist : 64.6 cm 
X : 236.15 mm, Y: 130.9 mm , angle : 29, dist : 24.0 cm 
X : 28377.92 mm, Y: 16384.0 mm , angle : 30, dist : 3273.8 cm 
