Wall = 25 cm => Clothing, angle 20 degress 

X : 530.0 mm, Y: 0.0 mm , angle : 0, dist : 50.0 cm 
X : 529.92 mm, Y: 9.25 mm , angle : 1, dist : 50.0 cm 
X : 529.68 mm, Y: 18.5 mm , angle : 2, dist : 50.0 cm 
X : 530.27 mm, Y: 27.79 mm , angle : 3, dist : 50.1 cm 
X : 536.69 mm, Y: 37.53 mm , angle : 4, dist : 50.8 cm 
X : 32643.31 mm, Y: 2855.92 mm , angle : 5, dist : 3273.8 cm 
X : 294.38 mm, Y: 30.94 mm , angle : 6, dist : 26.6 cm 
X : 291.81 mm, Y: 35.83 mm , angle : 7, dist : 26.4 cm 
X : 287.18 mm, Y: 40.36 mm , angle : 8, dist : 26.0 cm 
X : 281.49 mm, Y: 44.58 mm , angle : 9, dist : 25.5 cm 
X : 276.73 mm, Y: 48.8 mm , angle : 10, dist : 25.1 cm 
X : 271.91 mm, Y: 52.85 mm , angle : 11, dist : 24.7 cm 
X : 269.97 mm, Y: 57.38 mm , angle : 12, dist : 24.6 cm 
X : 268.93 mm, Y: 62.09 mm , angle : 13, dist : 24.6 cm 
X : 267.8 mm, Y: 66.77 mm , angle : 14, dist : 24.6 cm 
X : 267.56 mm, Y: 71.69 mm , angle : 15, dist : 24.7 cm 
X : 267.23 mm, Y: 76.63 mm , angle : 16, dist : 24.8 cm 
X : 266.81 mm, Y: 81.57 mm , angle : 17, dist : 24.9 cm 
X : 266.3 mm, Y: 86.52 mm , angle : 18, dist : 25.0 cm 
X : 264.75 mm, Y: 91.16 mm , angle : 19, dist : 25.0 cm 
X : 264.05 mm, Y: 96.11 mm , angle : 20, dist : 25.1 cm 
X : 263.27 mm, Y: 101.06 mm , angle : 21, dist : 25.2 cm 
X : 262.39 mm, Y: 106.01 mm , angle : 22, dist : 25.3 cm 
X : 261.42 mm, Y: 110.97 mm , angle : 23, dist : 25.4 cm 
X : 261.27 mm, Y: 116.33 mm , angle : 24, dist : 25.6 cm 
X : 261.92 mm, Y: 122.14 mm , angle : 25, dist : 25.9 cm 
X : 261.55 mm, Y: 127.57 mm , angle : 26, dist : 26.1 cm 
X : 263.74 mm, Y: 134.38 mm , angle : 27, dist : 26.6 cm 
X : 264.88 mm, Y: 140.84 mm , angle : 28, dist : 27.0 cm 
X : 264.14 mm, Y: 146.41 mm , angle : 29, dist : 27.2 cm 
X : 264.14 mm, Y: 152.5 mm , angle : 30, dist : 27.5 cm 
X : 268.29 mm, Y: 161.21 mm , angle : 31, dist : 28.3 cm 
X : 527.49 mm, Y: 329.61 mm , angle : 32, dist : 59.2 cm 
X : 520.81 mm, Y: 338.22 mm , angle : 33, dist : 59.1 cm 
X : 520.64 mm, Y: 351.17 mm , angle : 34, dist : 59.8 cm 
X : 528.35 mm, Y: 369.96 mm , angle : 35, dist : 61.5 cm 
X : 501.59 mm, Y: 364.43 mm , angle : 36, dist : 59.0 cm 
X : 491.96 mm, Y: 370.72 mm , angle : 37, dist : 58.6 cm 
X : 490.14 mm, Y: 382.94 mm , angle : 38, dist : 59.2 cm 
X : 488.82 mm, Y: 395.84 mm , angle : 39, dist : 59.9 cm 
X : 487.97 mm, Y: 409.46 mm , angle : 40, dist : 60.7 cm 
X : 538.53 mm, Y: -451.88 mm , angle : 320, dist : 67.3 cm 
